美华世纪大厦,朝阳-建国门外-建华南路15号,116.449717,39.911005,79593,↓2.18%,202,122,暂无数据,7.50元/平米/月,39800m²,312户,2004年,600,5.52,30%(一般),北京长安兴业房地产开发有限公司,北京福诺特物业管理有限公司,
建外SOHO(东区),朝阳-建国门外-东三环中路39号,116.465713,39.911122,53194,↓0.75%,248,83,暂无数据,4.50元/平米/月,暂无数据,暂无数据,2000年,暂无数据,3.5,33%(一般),北京红石建外房地产开发有限公司,北京赛特物业管理有限公司,
万豪国际公寓,朝阳-建国门外-灵通观5号,116.45521,39.910921,85424,↓1.33%,320,143,暂无数据,3.70元/平米/月,暂无数据,暂无数据,2001年,暂无数据,4,40%(高),德润房地产开发集团有限公司,国贸物业,
新城国际,朝阳-建国门外-朝阳门外大街6号,116.462316,39.923751,127626,↓2.01%,1685,3895,暂无数据,1.20元/平米/月,暂无数据,暂无数据,2002年,暂无数据,3,30%(一般),北京邦达房地产开发有限公司,安信行物业管理有限公司,
永安东里,朝阳-建国门外-建国门外大街,116.457238,39.912575,76923,↓1.40%,1,14,暂无数据,0.80元/平米/月,38000m²,840户,2015年,120,1.68,30%(一般),永安机械厂地产开发公司,永安物业,
建国里,朝阳-建国门外-建国里2号,116.447804,39.910748,82793,↓1.84%,4,15,暂无数据,1.00元/平米/月,10000m²,1000户,1997年,150,3.1,35%(一般),北京城建房地产开发有限公司,国贸物业管理有限公司,
灵通观,朝阳-建国门外-永安里中街,116.453448,39.910813,86922,↓4.57%,71,54,暂无数据,0.80元/平米/月,25000m²,1000户,1993年,1：1.1,2,30%(一般),北京天湖房产,街道办事处
怡禾国际温莎大道,朝阳-建国门外-光华路,116.458962,39.918047,96948,↑0.49%,106,709,暂无数据,暂无数据,200000m²,388户,2003年,充足,暂无数据,30%(一般),北京怡禾房地产开发有限公司,国贸物业酒店管理有限公司,
长安6号小区,朝阳-建国门外-建华南路,116.449596,39.909999,63808,↓4.38%,21,55,暂无数据,7.00元/平米/月,30847m²,250户,2010年,100,5.32,17%(低),北京成远房地产开发有限公司,北京市三和物业管理有限公司,
燕华苑,朝阳-建国门外-建国门外大街,116.446038,39.912222,74845,——,89,107,暂无数据,6.00元/平米/月,55417m²,200户,1989年,400左右,3,35%(一般),北京首开天鸿集团有限公司,北京天鸿集团燕华物业有限公司,
东大桥路小区,朝阳-建国门外-东大桥路,116.456676,39.917709,86743,↓6.68%,147,196,暂无数据,2.00元/平米/月,18000m²,2000户,2015年,800,0.9,15%(低),北京城建房地产开发有限公司,单位自营物业,芳草地国际学校民族校区,
建外SOHO(西区),朝阳-建国门外-东三环中路39号,116.461434,39.910871,54383,↑0.43%,217,83,暂无数据,4.50元/平米/月,暂无数据,暂无数据,2000年,暂无数据,3.5,33%(一般),北京红石建外房地产开发有限公司,北京赛特物业管理有限公司,
北京财富中心公寓,朝阳-建国门外-东三环中路7号,116.465109,39.92185,99637,↓0.04%,222,1585,暂无数据,7.00元/平米/月,暂无数据,暂无数据,2005年,暂无数据,暂无数据,暂无数据,北京香江兴利房地产开发有限公司,北京达文物业管理有限公司,
长安驿,朝阳-建国门外-建华南路6号,116.451278,39.912012,83311,↓2.18%,398,256,暂无数据,7.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,30%(一般),北京丹阳房产开发有限公司,第一太平戴维斯物业顾问(北京)有限公司,
旺座中心,朝阳-建国门外-关东店南街2号,116.465138,39.920711,51790,↑0.34%,32,5,暂无数据,8.28元/平米/月,暂无数据,暂无数据,2003年,暂无数据,暂无数据,32%(一般),北京天亚物业开发有限公司,北京中天如日物业管理有限公司,
建外SOHO(东区别墅),朝阳-建国门外-东三环中路39号,116.46571,39.91112,57358,↑6.42%,21,1,暂无数据,4.30元/平米/月,暂无数据,暂无数据,2000年,暂无数据,暂无数据,33%(一般),北京红石建外房地产开发有限公司,宾至物业,
艾丽华丽舍服务公寓,朝阳-建国门外-建华南路17号,116.44972,39.910618,100821,↓1.58%,98,64,暂无数据,7.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,18%(低),北京兴安金泰物业管理有限公司,北京福诺特物业管理有限公司,
通用时代国际公寓,朝阳-建国门外-永安东里甲3号,116.456644,39.910523,92670,↓1.11%,263,228,暂无数据,6.80元/平米/月,89000m²,1215户,2002年,1：1.2,3.89,30%(一般),北京通润房地产开发有限公司,国贸物业,
嘉华世纪,朝阳-建国门外-建国门外大街18号,116.447587,39.91166,75104,↓0.26%,170,40,暂无数据,7.50元/平米/月,52000m²,208户,2002年,280,4.5,30%(一般),北京白金房地产开发有限公司,美豪东方物业管理有限公司,
丽晶苑,朝阳-建国门外-建国门外大街乙8号,116.458622,39.913272,73318,↑5.30%,90,37,暂无数据,1.20元/平米/月,暂无数据,168户,1998年,地下车位每月每位100-150元,3,35%(一般),北京丽晶苑房地产开发有限公司,仲量联行物业管理有限公司,
光华里,朝阳-建国门外-光华路,116.460103,39.917398,110588,↑13.92%,44,114,暂无数据,0.80元/平米/月,暂无数据,暂无数据,1998年,暂无数据,暂无数据,25%(一般),北京家嘉奥房地产开发有限公司,街道办事处委员会,
金茂公寓,朝阳-建国门外-光华路,116.461528,39.918583,64039,↓5.86%,1,6,暂无数据,2.00元/平米/月,11000m²,暂无数据,1997年,地面停车,暂无数据,38%(一般),北京生昌房地产开发有限公司,街道办事处委员会,
芳草地西街小区,朝阳-建国门外-芳草地西街,116.453371,39.925664,101470,↓0.67%,87,17,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
东大桥东里,朝阳-建国门外-朝阳门外大街,116.458949,39.926155,79471,↓0.05%,92,151,暂无数据,1.61元/平米/月,20000m²,2600户,1991年,充足,2.23,40%(高),北京住总房地产开发有限责任公司,单位自管物业,芳草地国际学校日坛校区,
北京银泰中心,朝阳-建国门外-建国门外大街2号,116.465847,39.913126,138432,↓3.42%,574,421,暂无数据,18.00元/平米/月,暂无数据,暂无数据,2005年,暂无数据,8,21%(一般),北京银泰置业有限公司,第一太平戴维斯(中国)有限公司,
华侨村,朝阳-建国门外-建国门外大街24号,116.446429,39.913134,73007,↓1.21%,107,82,暂无数据,4.00元/平米/月,暂无数据,暂无数据,1987年,暂无数据,2.2,35%(一般),北京领先住商房地产经济有限公司,北京天鸿集团燕华物业有限公司,
御金台,朝阳-建国门外-东三环中路7号,116.465405,39.923171,147858,↓0.01%,393,492,暂无数据,17.90元/平米/月,暂无数据,暂无数据,2008年,暂无数据,3.8,35%(一般),北京香江兴利房地产开发有限公司,北京仲量联行物业管理服务有限公司,
中海枫丹公馆,朝阳-建国门外-通惠河北路,116.446666,39.909697,120781,↓0.39%,80,51,暂无数据,1.00元/平米/月,暂无数据,暂无数据,2015年,暂无数据,暂无数据,30%(一般),北京通惠房地产开发有限责任公司,中海物业管理有限公司,
东方瑞景,朝阳-建国门外-建国门外大街16号,116.44983,39.912638,84249,↓4.01%,355,335,暂无数据,6.00元/平米/月,暂无数据,暂无数据,2004年,暂无数据,4.3,33%(一般),北京峻成房地产开发有限责任公司,澳瑞物业管理有限公司,
世贸国际公寓,朝阳-建国门外-光华路甲9号,116.458619,39.920321,102594,↑4.23%,409,674,暂无数据,6.80元/平米/月,暂无数据,暂无数据,2002年,暂无数据,暂无数据,30%(一般),北京奥中基业房地产开发有限公司,北京世茂天阶物业管理有限公司,
永安西里,朝阳-建国门外-永安里北街,116.451443,39.913337,58250,↑5.72%,1,18,暂无数据,0.80元/平米/月,18900m²,800户,1989年,地上150元/月,1.26,30%(一般),永安机械厂开发有限公司,永安物业,
永安里煤炭部宿舍,朝阳-建国门外-建国门外大街,116.458989,39.909897,--,--,0,0,公寓,暂无数据,暂无数据,暂无数据,2000年,暂无数据,1.6,30%(一般),暂无数据,暂无数据,
建国公寓,朝阳-建国门外-建国里二巷94号,116.446355,39.910413,72435,↓0.02%,0,25,暂无数据,4.00元/平米/月,40000m²,170户,2001年,停车位196个,7.18,30%(一般),北京裕金房地产开发有限公司,国贸物业管理有限公司,
华侨村,朝阳-建国门外-建外大街24号,116.446429,39.913134,72422,——,0,0,公寓,4.00元/平米/月,143000m²,1200户,1987年,地上150元/月,2.2,35%(一般),北京领先住商房地产经济有限公司,北京燕侨物业管理有限公司,
工体三号,朝阳-建国门外-工体西路3号,116.449699401855,39.9350280761719,78391,——,0,0,暂无数据,-,63000m²,227户,暂无数据,340,暂无数据,暂无数据,暂未获知,-,
月河小区,朝阳-建国门外-月河1号,116.444462,39.911704,102573,↑3.35%,0,4,暂无数据,0.80元/平米/月,暂无数据,暂无数据,2002年,充足,暂无数据,30%(一般),北京寅丰房地产开发有限公司,街道办事处
砖厂胡同小区,朝阳-建国门外-砖厂胡同,116.453186,39.909911,30972,↓0.02%,0,2,暂无数据,0.80元/平米/月,暂无数据,暂无数据,2001年,充足,暂无数据,暂无数据,北京房地产开发有限公司,街道办事处
光华西里,朝阳-建国门外-东大桥路,116.457782,39.916677,76119,↓10.85%,0,17,暂无数据,2.00元/平米/月,75000m²,322户,2000年,180
北三里屯,朝阳-建国门外-工体北路，新东路交叉口东北角,116.45356046479,39.936410089214,71714,——,0,0,普通住宅,0.5元/㎡/月,56200m²,暂无数据,2006年,充足,暂无数据,30%(一般),单位分配,公房,
光华东里,朝阳-建国门外-金桐东路,116.462802,39.917287,73913,↑2.27%,0,14,暂无数据,0.80元/平米/月,89500m²,2800户,1998年,地上停车位,1.8,35%(一般),北京城建六建设集团有限公司,街道办事处委员会,
悠唐麒麟公馆,朝阳-建国门外-朝外大街,116.445204,39.927117,81723,↓0.02%,0,2,公寓,6.80元/平米/月,12257m²,400户,2010年,1627,5.5,30%(一般),北京兆泰置地（集团）股份有限公司,丰汇物业,
关东店6号小区,朝阳-建国门外-关东店6号,116.463994,39.922455,68712,↓2.18%,0,4,暂无数据,0.85元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,20%(一般),北京搜候房地产有限责任公司,北开物业,
建国门外外交公寓,朝阳-建国门外-秀水街1号,116.443519,39.916411,75739,——,0,15,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
新城国际公寓三期瀚园,朝阳-建国门外-金桐西路,116.460516,39.923737,122269,——,0,0,公寓,1.50元/平米/月,暂无数据,暂无数据,2007年,暂无数据,3.05,20%(一般),北京万置房地产开发有限公司,第一太平戴维斯物业顾问(北京)有限公司,
新城国际公寓四期桦园,朝阳-建国门外-金桐西路,116.461239,39.92428,133580,——,0,0,公寓,1.20元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
齐家园外交公寓,朝阳-建国门外-建外大街,116.451777,39.915066,78830,——,0,4,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
光华里小区,朝阳-建国门外-光华路,116.460372,39.917399,151703,——,0,1,公寓,5.35元/平米/月,暂无数据,暂无数据,1999年,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,
月河胡同小区,朝阳-建国门外-月河胡同,116.443943,39.91166,--,--,0,0,公寓,暂无数据,暂无数据,暂无数据,2000年,暂无数据,暂无数据,30%(一般),暂无数据,暂无数据,
世贸国际公寓,朝阳-建国门外-光华路9号,116.45903,39.920908,107526,——,0,0,暂无数据,5.80元/平米/月,暂无数据,暂无数据,2002年,暂无数据,4.9,60%(高),北京奥中基业房地产开发有限公司,北京世贸天阶物业服务有限公司,
远洋光华国际,朝阳-建国门外-朝阳区光华路7号,116.460713,39.921623,40000,——,0,3,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2.6,25%(一般),北京龙泽源置业有限公司,暂无数据,
首都儿科研究所家属楼,朝阳-建国门外-雅宝路2号,116.445735,39.920443,65000,——,0,1,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,
花市东三条小区,朝阳-建国门外-花市东三条,116.444939,39.904696,90581,↓3.72%,7,1,暂无数据,0.80元/平米/月,暂无数据,暂无数据,1987年,暂无数据,暂无数据,暂无数据,大龙建设集团有限公司,金宇宏物业管理公司,
永安南里小区,朝阳-建国门外-建华南路,116.4510096,39.91082816,79436,↓5.00%,3,9,暂无数据,0.80元/平米/月,20000m²,400户,2015年,400,1.65,30%(一般),永安机械厂开发有限公司,街道办事处
建外三道街小区,朝阳-建国门外-建国门外三道街1号,116.448847,39.911833,77415,——,0,3,暂无数据,0.80元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京城建六建设集团有限公司,街道办事处
